ACCURA    Accuracy
CRED192   VIRGINIA SMITH
CRED193   KEVIN CASSIN
CRED194   JASON SHIGEMORI
CRED195   KELLY KINSELLA
CRED196   MOLLIE STICKNEY
CRED197   STANTON SARJEANT
CRED198   LAURA WALSH
CRED199   MARK GARONE
CRED200   JOANNA SLY
CRED201   ELIZABETH HOWELL
CRED202   ANA HERCULES
CRED203   SHIRLEY IRICK
CRED204   KASHONA FIELDS
CRED205   JOEL M. LILJE
CRED206   JOHN DIBENEDETTO
CRED207   NANCY GILES
CRED208   RYAN CROY
CRED209   JENNIFER KOLBE
CRED210   LIAM BURKE
CRED211   SIGRID PREISSL
CRED212   ANITA FITZSIMONS
CRED213   PHILIPPA RASELLI
CRED214   WIL QUESNEL
CRED215   FALKO BURKERT
CRED216   SARA SEWELL
CRED217   RADIO STATIONS AND MUSIC
CRED218   MUSIC CONSULTANCY
CRED219   SOUNDTRACK CO-ORDINATOR
CRED220   TERRY DONOVAN
CRED221   PRODUCER FOR ROCKSTAR GAMES
CRED222   DAN HOUSER AND LAZLOW
CRED223   PRODUCER FOR ROCKSTAR NORTH
CRED224   CRAIG CONNER
CRED225   ALLAN WALKER
CRED226   LAZLOW
CRED227   DJ BANTER AND IMAGING
CRED228   WRITTEN BY DAN HOUSER AND LAZLOW
CRED229   FLASH FM
CRED230   SPECIAL THANKS TO
CRED231   TOMMY MOTTOLA,
CRED232   MICHELLE ANTHONY,
CRED233   STEVE BARNETT,
CRED234   CHUCK FLECKENSTEIN,
CRED235   RITA LIBERATOR
CRED236   MARTIN & CLAIRE LOGAN
CRED237   SANDRA HUTTON
CRED238   CHRISTINE DAVIDSON
CRED239   ALAN, RED & BIGFOOT
CRED240   LE T
CRED241   COLIN DONALD
CRED242   KERRY STALLWOOD
CRED243   ALAN MCGREGOR
CRED244   CHRIS MORTON
CRED245   EMIL BUSSE
CRED246   EMILY BAILLIE
CRED247   KEVIN ARCHIBALD
CRED248   MORAG KERR
CRED249   CATH WALKER
CRED250   ISO BAR
CRED251   WATERLINE
CRED252   NEWS CAFE
CRED253   BUDGET VIDEO RENTALS
CRED254   LORNA'S SCOOTER
CRED255   GARETH MURFIN
CRED256   ADDITIONAL ART
CRED257   TONY PORTER
CRED258   CRAIG MOORE
CRED259   CUT SCENE LIP-SYNC ANIMATION
CRED260   COSGROVE HALL FILMS
CRED261   PRODUCER - OWEN BALLHATCHET
CRED262   SENIOR ANIMATOR - JON TURNER
CRED263   ANIMATORS - RICHARD DRUMM
CRED264   DAVE BROWN
CRED265   MAIR THOMAS
CRED266   PRASHANT PATEL
CRED267   AUDIO TECHNOLOGY CONSULTANT
CRED268   RIK EDE FOR GAMESOUND LTD.
CRED269   DTS INTEGRATION SUPPORT
CRED270   TED LAVERTY FOR DTS
CRED271   CHRIS GREER FOR DTS
CRED272   JASON PAGE FOR SCEE
CRED273   RESEARCH AND ANALYSIS
CRED274   VROCK
CRED275   DJ: LAZLOW AS HIMSELF
CRED276   IMAGING VOICE-JOE KELLY
CRED277   IMAGING PRODUCTION-JONATHAN HANST
CRED278   WAVE 103
CRED279   DJ: ADAM FIRST-JAMIE CANFIELD
CRED280   IMAGING VOICE-JEN SWEENEY
CRED281   IMAGING PRODUCTION-JONATHAN HANST
CRED282   FEVER 105
CRED283   DJ: OLIVER 'LADYKILLER' BISCUIT-JULIUS DYSON
CRED284   IMAGING VOICE MALE-ED MCMANN
CRED285   IMAGING VOICE FEMALE-SHAWNEE SMITH
CRED286   IMAGING PRODUCTION- LISTEN KITCHEN
CRED287   EMOTION 98.3
CRED288   DJ: FERNANDO- FRANK CHAVEZ
CRED289   IMAGING VOICE-JEN SWEENEY
CRED290   IMAGING PRODUCTION-JONATHAN HANST
CRED291   RADIO ESPANTOSO
CRED292   DJ: PEPE-TONY CHILRODES
CRED293   WILDSTYLE
CRED294   DJ: MISTER MAGIC AS HIMSELF
CRED295   IMAGING VOICE-FRANK SILVESTRO
CRED296   IMAGING PRODUCTION-LAZLOW
CRED297   KCHAT
CRED298   WRITTEN BY DAN HOUSER AND LAZLOW
CRED299   PRODUCED AND EDITED BY LAZLOW
CRED300   DJ AMY SHECKENHAUSEN -LEYNA WEBER
CRED301   JEZ TORRENT-KEVIN MCKIDD
CRED302   MANDY -COLLEEN CORBETT
CRED303   MICHELLE CARAPADIS-MARY BIRDSONG
CRED304   MR.ZOO-CARL DOWLING
CRED305   GETHSEMANEE-LYNN LIPTON
CRED306   CLAUDE MAGINOT-JOHN MAUCERI
CRED307   BJ SMITH-LAWRENCE TAYLOR
CRED308   THOR-FRANK FAVA
CRED309   RADIO CALLERS
CRED310   COUZIN ED, JOSH CLARK, JASON BUHRMESTER, JUAN ALLER, WAYNE OLIVER, SUSAN LEWIS, GILLIAN TELLING, TOM MURRAY, MIKE FERRANTE SR., EMMANUEL GOLDSTEIN, DAN HOUSER, NICK MANDELOS, GERRY COSGROVE, MIKE PALERMO, PORKCHOP, KEITH BROADAS
CRED311   LEWIS, GILLIAN TELLING, TOM MURRAY, MIKE FERRANTE SR., EMMANUEL GOLDSTEIN,
CRED312   DAN HOUSER, NICK MANDELOS, GERRY COSGROVE, MIKE PALERMO, PORKCHOP,
CRED313   KEITH BROADAS
CRED314   VCPR
CRED315   WRITTEN BY DAN HOUSER AND LAZLOW
CRED316   PRODUCED BY LAZLOW
CRED317   MAURICE CHAVEZ-PHILLIP ANTHONY RODRIGUEZ
CRED318   JONATHAN FREELOADER- PATRICK OLSEN
CRED319   MICHELLE MONTANIUS-KELLY GUEST
CRED320   REP. ALEX SHRUB- CHRIS LUCAS
CRED321   CALLUM CRAYSHAW- SEAN MODICA
CRED322   JOHN F. HICKORY- LJ GANSEN
CRED323   PASTOR RICHARDS- DAVID GREEN
CRED324   JAN BROWN- MAUREEN SILLIMAN
CRED325   BARRY STARK- RENAUD SEBBANE
CRED326   JENNY LOUISE CRAB- MARY BIRDSONG
CRED327   KONSTANTINOS SMITH- KONSTANTINOS.COM
CRED328   JEREMY ROBARD-PETER SILVESTRO
CRED329   RADIO COMMERCIALS
CRED330   WRITTEN BY DAN HOUSER AND LAZLOW
CRED331   PRODUCED BY LAZLOW
CRED332   ADDITIONAL JINGLES PRODUCED BY CRAIG CONNER
CRED333   COMMERCIAL VOICES:
CRED334   ADAM DAVIDSON, ALEX ANTHONY, ALICE SALTZMAN, AMY SALZMAN, KATE DUKICH,
CRED335   ARAN RONICLE, BARB JONES, BEN KRECH, BRIAN THOMAS, BROCK YODER, CHRIS
CRED336   FERRANTE, CRAIG CONNER, DAVE RYAN, DAVID GREEN, DORIS WOO, DOUGLAS
CRED337   HARRISON, ED MCMANN, FRANK CHAVEZ, FRANK FAVA, GENE HILGREEN, GREG
CRED338   SCHWEIZER, HUNTER PLATIN, JAMES FERRANTE, JEFF BERLIN, JEFF ROSA, JOE KELLY,
CRED339   JOHN MAUCERI, JOSH CLARK, JULIE WEMYSS, KEVIN STRALEY, KIM GURNEY, LANCE
CRED340   WILLIAMS, LAURA PATERSON, LAZLOW, LISA ORTIZ, LORNA JORDAN, LUCIEN JONES,
CRED341   MAUREEN SILLIMAN, MIKE FERRANTE JR., PETE GUSTIN, PETER SILVESTRO, RAFF
CRED342   CROLLA, RANDY JOHNSON, RICHARD KRUGER, RON REEVE, SHELLEY MILLER, SKY, TJ ALLARD
CRED344   NYC, TRACK 9 STUDIOS, NYC,
CRED345   WEDDINGTON MULTIMEDIA, LOS ANGELES,
CRED346   THANKS TO AXEL ERICSON AND WON LEE AT DIGITAL ARTS, PAUL VASQUEZ AT TRACK 9 STUDIOS, JOHN BOWEN AND JOHN HASSLER AT SYNC SOUND
CRED347   MARK LLOYD
CRED348   TIM BATES
CRED349   KIT BROWN
CRED350   ANDY MASON
CRED351   PHIL DEANE
CRED352   PHIL ALEXANDER
CRED353   MATT HEWITT
CRED354   DENBY GRACE
CRED355   ANTOINE CABROL
CRED356   JONOTHAN STONES
CRED357   MIKE BLACKBURN
CRED358   TIM MCGAFF
CRED359   LEE JOHNSON
CRED360   HENDRIK LESSER
CRED361   PASQUALE STACCHIOTTI
CRED362   ENRIQUE FERNANDEZ
CRED363   PAUL BYERS
CRED364   MIKE EMENY
CRED365   ROB DUNKIN
CRED366   CHARLIE KINLOCH
CRED367   KEVIN HOBSON
CRED368   JIM CREE
CRED369   JOHN MCCARDLE
CRED370   DAVID MURDOCH
CRED371   CHRIS BROWN
CRED372   PAUL GREEN
CRED373   KYLE MILNE
CRED374   KEVIN YUN
CRED375   ERICK COBBS
CRED376   RANDY BLAKE
CRED377   BRANDON LIM
CRED378   BRANDON FENOL
CRED379   MICHAEL MANOLE
CRED380   ALETHEIA SIMONSON
CRED381   JOHN JANSEN
CRIMRA    Criminal rating:
CR_1      Crane cannot lift this vehicle.
CTUTOR    Press the ~h~~k~~TOGGLE_SUBMISSIONS~ button~w~ to toggle Vigilante missions on or off.
CTUTOR2   Press the ~h~~k~~TOGGLE_SUBMISSIONS~ button~w~ to toggle Vigilante missions on or off.
CUB2_10   ~r~You are supposed to be killing Haitians, not Cubans.
CUBAN     Cuban Hermes
CUBAN1    CUBAN MISSION 1
CUBAN2    CUBAN MISSION 2
CUBAN3    CUBAN MISSION 3
CUBAN4    CUBAN MISSION 4
CUBANM    THE CUBAN GANG MISSIONS
CUBJET    Cuban Jetmax
CUB_1     Stunt Boat Challenge
CUB_2     Cannon Fodder
CUB_3     Naval Engagement
CUB_4     Trojan Voodoo
#UpdatedSCM edited
CUNTY     Frankie outfit delivered to the Vercetti Estate!
CVT_ERR   You have run out of disk space. Please make some space on your harddisk before continuing. Press ESC to cancel.
CVT_MSG   Converting textures to optimal format for your video card
C_ESCP    ~r~The suspect has escaped!
C_FAIL    Vigilante mission ended!
C_KILLS   CRIMINALS KILLED: ~1~
C_VIGIL   VIGILANTE BONUS!!
DAYPLC    Daily police spending
DAYSPS    Days passed in game
DBINST    Double insane stunt
DBPINS    Perfect double insane stunt
DEAD      WASTED!
DEC       Dec
DED_CRI   Criminals wasted
DEFDT     --:---:---- --:--:--
DELUXO    Deluxo
DESPERA   Desperado
DINGHY    Dinghy
DIRTRNG   DIRTRING
DISTBIK   Dist. traveled by bike (miles)
DISTBIM   Distance traveled by bike (m)
DISTBOA   Dist. traveled by boat (miles)
DISTBOM   Distance traveled by boat (m)
DISTGOL   Dist. traveled by golf cart (miles)
DISTGOM   Distance traveled by golf cart (m)
DISTHEL   Dist. traveled by helicopter (miles)
DISTHEM   Distance traveled by helicopter (m)
DOCKS     Viceport
DODO      Dodo
DODO_FT   You flew for ~1~ seconds!
DTOWN     Downtown
ENFORCR   Enforcer
ESPERAN   Esperanto
EXIT_1    Press the ~h~~k~~PED_SPRINT~ ~w~button to exit.
FF_1      "Faggio Freakout"
FAGGIO    Faggio
FBICAR    FBI Washington
FBIRANC   FBI Rancher
FEA_2SP   2 Speakers
FEA_3DH   AUDIO HARDWARE
FEA_4SP   More than 2 speakers
FEA_ADP   AUTO-DETECT HARDWARE
FEA_CHA   Changing audio output to STEREO. Please wait...
FEA_CHD   Warning! You are changing from STEREO output to DTS. Please wait...
FEA_CTD   Warning! This feature requires DTS compatible hardware to be connected. Proceed?
FEA_DSM   Warning! This savegame is set to use DTS. This requires DTS compatible hardware to be connected. Please select whether you want to proceed using DTS or STEREO output.
FEA_DTS   DTS
FEA_EAR   Headphones
FEA_FM0   WILDSTYLE
FEA_FM1   FLASH FM
FEA_FM2   KCHAT
FEA_FM3   FEVER 105
FEA_FM4   VROCK
FEA_FM5   VCPR
FEA_FM6   ESPANTOSO
FEA_FM7   EMOTION 98.3
FEA_FM8   WAVE 103
FEA_MP3   MP3 PLAYER
FEA_MPB   MP3 VOLUME BOOST
FEA_MUS   MUSIC VOLUME
FEA_NAH   NO AUDIO HARDWARE
FEA_NM3   NO MP3 FILES FOUND
FEA_NON   RADIO OFF
FEA_OUT   Output
FEA_RSS   Radio station
FEA_SFX   SFX VOLUME
FEA_SPK   SPEAKERS CONFIGURATION
FEA_ST    Stereo
FEB       Feb
FEC_ABR   Accelerate, Brake or Reverse
FEC_ACC   Accelerate
FEC_ACL   Vehicle Accelerate
FEC_ANS   Action
FEC_ATT   Attack or Fire weapon
FEC_BAC   Backwards
FEC_BRA   Brake or Reverse
FEC_BRK   Vehicle Brake
FEC_BSP   BSPACE
FEC_CAM   Camera modes
FEC_CAW   Car weapon
FEC_CCF   Configuration
FEC_CCM   Center Camera Behind player.
FEC_CDP   Controller Display
FEC_CEN   Center camera
FEC_CF1   Setup 1
FEC_CF2   Setup 2
FEC_CF3   Setup 3
FEC_CF4   Setup 4
FEC_CLE   Cycle Weapon Left
FEC_CLK   CAPSLOCK
FEC_CMM   Common Controls
FEC_CMP   COMBO: LOOK L+R
FEC_CMR   Change camera
FEC_CMS   Change camera mode all situations.
FEC_CR3   Crouch (L3 button)
FEC_CRD   Change Radio Station
FEC_CRI   Cycle Weapon Right
FEC_CRO   Crouch
FEC_CSU   Controller Setup
FEC_CWL   Cycle Weapon left
FEC_CWR   Cycle Weapon right
FEC_DBG   DEBUG MENU
FEC_DLF   Delete Failed.
FEC_DLL   DEL
FEC_DOT   NUM .
FEC_DWA   DOWN
FEC_EEX   Enter+exit
FEC_END   END
FEC_ENT   Enter/Exit Vehicle
FEC_ENV   Enter vehicle
FEC_ERI   Error! One or more control actions are not bound to a key or button. Please check all control actions are set
FEC_ETR   ENT
FEC_EXV   Enter and exit vehicle
FEC_FIR   Fire
FEC_FNC   F~1~
FEC_FOR   Forward
FEC_FPC   First person camera
FEC_FPO   1st Person Weapons
FEC_FPR   Controls For First Person
FEC_FWS   NUM /
FEC_HAB   Hand brake
FEC_HBR   Vehicle Handbrake
FEC_HME   HOME
FEC_HND   Handbrake
FEC_HO3   Horn (L3 button)
FEC_HOR   Horn
FEC_HRN   Horn
FEC_IBT   -
FEC_ILU   Invert Look in 1st Person
FEC_INC   In car
FEC_IRT   INS
FEC_IVH   Invert Mouse Horizontally:
FEC_IVV   INVERT MOUSE VERTICALLY
FEC_JBO   JOY ~1~
FEC_JMP   Jump
FEC_JOY   Joystick
FEC_JUM   Jump
FEC_LAL   LALT
FEC_LB    Look behind
FEC_LB1   Look
FEC_LB2   behind
FEC_LB3   Look behind
FEC_LB4   Look behind (R3 button)
FEC_LBA   Look behind
FEC_LBC   Use Look Left With Look Right.
FEC_LBH   Look Behind Vehicle
FEC_LCT   LCTRL
FEC_LDN   1st Person Look Down
FEC_LDU   Look Down
FEC_LEF   Left
FEC_LFA   LEFT
FEC_LKL   First Person Look Left
FEC_LKT   Lock Target
FEC_LL    Look left
FEC_LLF   Look Left of Vehicle
FEC_LOF   Look forward
FEC_LOL   Look left
FEC_LOR   Look right
FEC_LR    Look right
FEC_LRG   Look Right of Vehicle
FEC_LRT   First Person Look Right
FEC_LSF   LSHIFT
FEC_LUD   Look Up
FEC_LUN   Load Unsuccessful. File Corrupted, Please delete.
FEC_LUP   1st Person Look Up
FEC_LWD   LWIN
FEC_MIN   NUM -
FEC_MOU   Mouse Settings
FEC_MOV   Movement
FEC_MSH   MOUSE SENSITIVITY
FEC_MSL   LMB
FEC_MSM   MMB
FEC_MSR   RMB
FEC_MWB   MS WHEEL DN
FEC_MWF   MS WHEEL UP
FEC_MXO   MXB1
FEC_MXT   MXB2
FEC_NA    NA
FEC_NLK   NUMLOCK
FEC_NMN   NUM~1~
FEC_NTR   Next target
FEC_NUM   NUM
FEC_NUS   NOT USED
FEC_NWE   Next weapon
FEC_OJS   Only One Joystick Buttons per action allowed
FEC_OKK   O.K.
FEC_OMS   Only One Mouse Keys Allowed
FEC_ONF   On foot
FEC_ORR   or
FEC_PAD   Gamepad
FEC_PAS   Pause
FEC_PAU   Pause
FEC_PED   Controls On Foot
FEC_PFR   Fire Weapon
FEC_PGD   PGDN
FEC_PGU   PGUP
FEC_PJP   Ped Jump
FEC_PLB   Look Behind.
FEC_PLS   NUM +
FEC_PSB   BREAK
FEC_PSH   Ped Shoot
FEC_PSP   Ped Sprint
FEC_PTL   Use LockTarget with Weapon Switch Left.
FEC_PTR   Use LockTarget with Weapon Switch Right.
FEC_PTT   Previous target
FEC_PWE   Previous weapon
FEC_PWF   Walk Forward
FEC_PWL   Go Left
FEC_PWR   Go Right
FEC_PWT   Walk towards camera
FEC_QUE   ???
FEC_R3    (R3 button)
FEC_RAD   Radio
FEC_RAL   RALT
FEC_RCT   RCTRL
FEC_RED   Redefine Controls
FEC_RFA   RIGHT
FEC_RIG   Right
FEC_RS3   Radio station cycle (L3 button)
FEC_RSC   Radio stations
FEC_RSF   RSHIFT
FEC_RTN   RET
FEC_RUN   Run
FEC_RWD   RWIN
FEC_SFT   SHIFT
FEC_SLK   SCROLL LOCK
FEC_SM3   Sub-mission (R3 button)
FEC_SMS   Show mouse pointer
FEC_SMT   Sub-mission
FEC_SPC   SPC
FEC_SPN   Sprint
FEC_STR   NUM STAR
FEC_SUB   Sub-mission
FEC_SVU   Save Unsuccessful.
FEC_SZI   Sniper Rifle Zoom In
FEC_SZO   Sniper Rifle Zoom Out
FEC_TAB   TAB
FEC_TAR   Target
FEC_TDO   Turn Debug Camera Off
FEC_TFD   Turret + Lean Down
FEC_TFL   Look left+Turret L
FEC_TFR   Look right+Turret R
FEC_TFU   Turret + Lean Up
FEC_TGD   Toggle Pad Game/Debug
FEC_TLF   Next Target To Left
FEC_TRG   Next Target to Right
FEC_TSM   Toggle SubMissions
FEC_TSS   Take Screen Shot
FEC_TUC   Turret control
FEC_TWO   Only Two Keyboard Keys Allowed
FEC_UJS   Unique Joystick buttons only please.
FEC_UMS   Unique Mouse Keys only please.
FEC_UNB   UNBOUND
FEC_UPA   UP
FEC_VEH   Controls In Vehicle
FEC_VES   Vehicle control
FEC_VIB   Vibration
FEC_WAR   Warning
FEC_WPN   Fire Weapon
FEC_WRC   WINCLICK
FEC_ZIN   Zoom in
FEC_ZOT   Zoom out
FEDL_WR   Deleting saved game. Please wait...
FEDS_TB   Back
FED_BRI   Brightness
FED_DBG   Menu Debug
FED_DFL   CTheScripts::DbgFlag
FED_DLS   Big White Debug Light Switched
FED_DSR   Debug Streaming Requests
FED_HUD   HUD MODE
FED_PAH   Parse Heap
FED_POS   Screen Position
FED_RDB   BLIPS ONLY
FED_RDM   MAP & BLIPS
FED_RDR   RADAR MODE
FED_RES   SCREEN RESOLUTION
FED_RID   Reload IDE
FED_RIP   Reload IPL
FED_SCP   gbShowCollisionPolys
FED_SCR   Show Car Road Grups
FED_SCZ   Show Cull Zones
FED_SPR   Show Ped Road Groups
FED_SUB   Subtitles
FED_TRA   Trails
FED_WIS   Wide Screen
FEH_AUD   AUDIO
FEH_BRI   BRIEF
FEH_CON   CONTROLS
FEH_DIS   DISPLAY
FEH_LAN   LANGUAGE
FEH_LOA   LOAD
FEH_MAP   MAP
FEH_MPH   MOUSE, CURSORS TO MOVE - PGUP, PGDN, MSWHEEL TO ZOOM, L - LEGEND
FEH_NA    OPTION NOT AVAILABLE
FEH_SGA   START NEW GAME
FEH_SSA   CURSORS TO MOVE - S TO SAVE TO FILE
FEH_STA   STATS
FEH_VMP   VIEW MAP
FEI_BAC   Back
FEI_BTD   ; = > < -
FEI_BTR   > < -
FEI_BTT   " button -
FEI_BTU   ; = -
FEI_BTX   / button -
FEI_HOL   Hold
FEI_NA    N\A
FEI_NAV   Navigate
FEI_R1B   R1 \ R2 button -
FEI_RES   Resume
FEI_SCR   Scroll
FEI_SEL   Select
FEI_STA   START button -
FEI_STO   Stop
FEI_ZOO   Zoom
FELD_WR   Loading game. Please wait...
FEL_ENG   English
FEL_FRE   French
FEL_GER   German
FEL_ITA   Italian
FEL_SPA   Spanish
FEM_FRM   FRAME LIMITER
FEM_LOD   DRAW DISTANCE
FEM_MM    MAIN MENU
FEM_NO    No
FEM_OFF   OFF
FEM_OK    OK
FEM_ON    ON
FEM_RET   RETRY
FEM_SL1   Save File 1 Not Present
FEM_SL2   Save File 2 Not Present
FEM_SL3   Save File 3 Not Present
FEM_SL4   Save File 4 Not Present
FEM_SL5   Save File 5 Not Present
FEM_SL6   Save File 6 Not Present
FEM_SL7   Save File 7 Not Present
FEM_SL8   Save File 8 Not Present
FEM_STE   USE STEREO
FEM_VSC   FRAME SYNC
FEM_YES   Yes
FEN_STA   START GAME
FEO_AUD   Audio Setup
FEO_CON   Controller Setup
FEO_DIS   Display Setup
FEO_LAN   Language Setup
FEO_PLA   Player Setup
FEP_BRI   Briefs
FEP_OPT   Options
FEP_QUI   Quit Game
FEP_RES   Resume
FEP_STA   Stats
FEP_STG   Start Game
FEQ_SRE   Are you sure you want to quit? All progress since the last save game will be lost. Proceed?
FEQ_SRW   Are you sure you want to quit the game?
FESTDCM   Distance traveled by car (m)
FESTDFM   Distance traveled on foot (m)
FEST_BB   Bling-bling Scramble:
FEST_CC   Criminals killed on Vigilante Mission
FEST_DC   Dist. traveled by car (miles)
FEST_DF   Dist. traveled on foot (miles)
FEST_FE   Total fires extinguished
FEST_GC   Gang Cars Totaled:
FEST_H0   Most checkpoints
FEST_H1   Diablo destruction
FEST_H2   Mafia Massacre
FEST_H3   Casino Calamity
FEST_H4   Rumpo Wrecker
FEST_HA   Highest Paramedic Mission level
FEST_HV   Highest Vigilante Mission level
FEST_LS   People saved in an Ambulance
FEST_MP   Missions passed
FEST_OO   out of
FEST_RP   Rampages passed
FESZ_CA   Cancel
FESZ_LS   Load Successful.
FESZ_QC   Proceed with overwriting this corrupted save game?
FESZ_QD   Proceed with deleting this save game?
FESZ_QL   All unsaved progress in your current game will be lost. Proceed with loading?
FESZ_QO   Proceed with overwriting this save game?
FESZ_QR   Are you sure you want to start a new game? All progress will be lost. Proceed?
FESZ_QZ   Are you sure you want to save this game?
FESZ_WR   Saving current game. Please wait...
FES_CAN   Cancel
FES_CHE   Warning! One or more cheats have been activated. This may affect your save game. It is recommended that you do not save this game.
FES_CMI   LAST MISSION PASSED
FES_CMP   Save failed! Please try again.
FES_CSA   Select a skin from the list below:
FES_DAT   DATE
FES_DEE   Delete Failed! Please try again.
FES_DEL   Delete game
FES_DSC   Delete Successful. Select OK to continue.
FES_FMS   Format Successful. Select OK to continue.
FES_LCG   Load the game and continue playing?
FES_LOA   Load game
FES_NGA   New Game
FES_SCG   Save the current game?
FES_SET   Use Skin
FES_SKN   SKIN NAME
FES_SSC   Save Successful. Select OK to continue.
FET_APP   APPLY
FET_CAC   ACTION
FET_CCR   IN CAR
FET_CFT   ON FOOT
FET_CIG   BACKSPACE TO CLEAR - LMB, RETURN TO CHANGE
FET_CTI   Classic Controls
FET_CTL   CONTROLLER SETUP
FET_DAM   DYNAMIC ACOUSTIC MODELING
FET_DEF   Restore Defaults
FET_DSN   Default Player Skin.bmp
FET_EIG   CANNOT SET A CONTROL FOR THIS ACTION
FET_HRD   DEFAULT SETTINGS RESTORED
FET_LG    LOAD GAME
FET_MIG   LEFT, RIGHT, MOUSEWHEEL TO ADJUST
FET_MST   MOUSE CONTROLLED STEERING
FET_OPT   OPTIONS
FET_PAU   PAUSE MENU
FET_PS    PLAYER SKIN SETUP
FET_QG    QUIT GAME
FET_RIG   SELECT A NEW CONTROL FOR THIS ACTION
FET_RSC   HARDWARE NOT AVAILABLE - ORIGINAL SETTING RESTORED
FET_RSO   ORIGINAL SETTING RESTORED
FET_SG    SAVE GAME
FET_STI   Standard Controls
FET_STS   STATS SAVED TO 'STATS.HTML' + 'STATS.TXT'
FE_MLG    MAP LEGEND
FINKILL   Ok boys, kill him!
FIN_1     Keep your Friends Close...
FIN_10    Sonny? SONNY! I'm coming for ya!
FIN_11A   You took fifteen years from me Sonny...
FIN_11B   And now I'm gonna make you pay!
FIN_12A   You still don't get it do you!
FIN_12B   I OWN you, Tommy.
FIN_12C   Those fifteen years were mine to spend!
FIN_13    Get him boys, he never understood a thing.
FIN_1A    Come here you double-crossing piece of shit!
FIN_1B    You're going down, you back stabbing prick!
FIN_1C    This is the last dance for lance vance!
FIN_2B    Oh you think so!
FIN_2C    I said I had enough of that at school!
FIN_3     No one to cover your ass now, eh Tommy?
FIN_4     You're history, Tommy, history
FIN_5     You picked the wrong side, Lance...
FIN_6     Sonny's up with the safe and MY money...
FIN_B6    You do not have enough money to start this mission.
#UpdatedSCM edited
FIRELVL   Fire Fighter Mission level ~1~
#UpdatedSCM edited
FIRETRK   Fire Truck
FIRE_M    'FIREFIGHTER'
FIRST     ~b~1st
FLATBED   Flatbed
FOURTH    ~b~4th
FREEWAY   Freeway
FST_LFR   Least Favorite Radio Station
FST_MFR   Most Favorite Radio Station
#UpdatedSCM edited
FTUTOR    Press the ~h~~k~~TOGGLE_SUBMISSIONS~ button~w~ to toggle fire fighter missions on or off.
#UpdatedSCM edited
FTUTOR2   Press the ~h~~k~~TOGGLE_SUBMISSIONS~ button~w~ to toggle fire fighter missions on or off.
GANGBUR   Gang Burrito
GA_1      Whoa! I don't touch nothing THAT hot!
GA_10     Nice one. Here's your $~1~
GA_11     We got these wheels already. It's worthless to us!
GA_12     Bomb armed
GA_13     Delivered like a pro. Complete the list and there'll be a bonus for you.
GA_14     All the cars. NICE! Here's a little something.
GA_15     Hope you like the new color.
GA_16     Respray is complementary.
GA_19     We're not interested in that model.
GA_1A     Come back when you're not so busy...
GA_2      New engine and paint job. The cops won't recognize you!
GA_20     We got more of these than we can shift. Sorry man, no deal.
GA_21     You cannot store any more cars in this garage.
GA_3      No more freebies. $100 to respray!
GA_4      Car bombs are $500 each
GA_5      Your car is already fitted with a bomb.
GA_6      Park it, prime it by pressing the ~h~~k~~PED_FIREWEAPON~ ~w~button and LEG IT!
GA_6B     Park it, prime it by pressing the ~h~~k~~PED_FIREWEAPON~ ~w~button and LEG IT!
GA_7      Arm with the ~h~~k~~PED_FIREWEAPON~ ~w~button. Bomb will go off when engine is started.
GA_7B     Arm with the ~h~~k~~PED_FIREWEAPON~ ~w~button. Bomb will go off when engine is started.
GA_8      Use the detonator to activate the bomb.
GEN3_13   What's the matter with you man?! Get on the roof across the yard before they turn up!
GEN3_17   Sheeit! You trying to kill me?!
GEN3_21   ~g~He got Diaz's money! Chase him down and get it back!
GEN3_24   ~r~Diaz died! You failed to protect him!
GEN3_26   ~r~You shot Diaz!
GEN3_27   ~r~You shot Diaz's bodyguards!
GEN3_31   ~g~Now go to the drop off and watch over Diaz.
GEN3_32   ~g~Get to your vantage point on the roof of the building opposite Lance.
GEN3_4    Tommy Vercetti. Let's go...
GENERAL   THE COLONEL MISSIONS
GLENDAL   Glendale
GMSAVE    Save Game
GNG_WST   Gang members wasted
GOAWAY1   ~g~Come back when you have finished the Haitian gang missions.
GOAWAY2   ~g~Come back when you have finished the Biker gang missions.
#UpdatedSCM only
GOAWAY3   ~g~Come back when you are not wearing cop outfit.
GOLFC     Leaf Links
GOODBOY   $50 Good Citizen Bonus!
GREENWO   Greenwood
GREET     Greetings from...
GRENADE   Grenades
GUN_H1    ~w~Press the~h~ ~k~~PED_SPRINT~ ~w~button to buy. Press the~h~ ~k~~VEHICLE_ENTER_EXIT~ ~w~button to exit.
G_COST    Cost: $~1~
HAIT      THE HAITIAN GANG MISSIONS
HAIT1     HAITIAN MISSION 1
HAIT2     HAITIAN MISSION 2
HAIT3     HAITIAN MISSION 3
HAITI     Little Haiti
#HAM1_5    NO LONGER NEEDED
HAM3_6    ~g~Use the sniper rifle I have left to accomplish your task.
HAMMER    Hammer
HAT_1     Juju Scramble
HAT_2     Bombs Away!
HAT_3     Dirty Lickin's
HAVANA    Little Havana
#UpdatedSCM edited
HEAL_A    Your ~h~health~w~ is displayed in pink in the top right of the screen.
HEAL_B    When you are ~h~'wasted'~w~ you are returned to the nearest hospital.
HEAL_C    You will lose your weapons and the doctors will take some cash for patching you up.
